User_ID,Category_0,Category_1,Category_2,Category_3,Category_4
0,-4.941469,-5.1076045,-5.0883517,9.710046,-5.002082
1,-4.9540634,-4.940947,-4.9236355,-4.8396997,9.9179945
2,-4.8666153,-4.924293,9.95301,-5.051598,-4.8957872
3,-4.9299955,-4.995253,-4.980623,-4.7940784,9.927916
4,-4.9854283,-5.16624,-4.947293,-4.8453403,9.988738
5,-5.0379186,9.8216715,-4.841551,-5.0621924,-5.2558765
6,-5.0087748,-5.1892996,10.100259,-5.148562,-4.9128027
7,-4.948259,-5.1326084,10.080002,-5.0993705,-4.9011154
8,-5.0002995,-5.1034646,10.077769,-5.219011,-4.8330107
9,-4.88848,-5.019056,-4.977266,-4.8278866,9.870184
