User_ID,Category_0,Category_1,Category_2,Category_3,Category_4
0,27.649458,29.536268,25.278654,56.617706,30.086918
1,32.473614,24.630653,31.67974,29.67251,56.977547
2,30.938427,31.00714,58.273296,30.801922,32.79065
3,32.289932,32.15501,34.408264,31.087904,58.579536
4,29.704004,32.541874,32.062733,31.675047,57.913662
5,33.057316,59.18199,33.98235,35.10285,34.410446
6,29.401442,29.341146,57.654484,30.82306,32.945988
7,29.626654,31.338402,57.616066,34.495346,28.02856
8,34.128227,30.638725,58.558025,30.681576,33.098152
9,28.927557,30.968912,31.412657,26.21056,56.913723
