User_ID,Category_0,Category_1,Category_2,Category_3,Category_4
0,69.578094,57.47654,53.86675,98.58156,58.99364
1,64.50703,57.220436,65.088554,67.13089,98.50865
2,65.81055,64.57787,98.40825,68.493484,67.02205
3,64.40458,65.92108,60.771248,62.630398,98.52352
4,59.564487,59.989235,54.920265,62.593304,98.67104
5,66.98841,98.478455,60.700336,67.79092,61.025005
6,58.123436,58.366554,98.697426,65.88985,53.096718
7,69.97978,66.89897,98.424126,58.82464,64.90133
8,64.238396,68.318146,98.43985,61.480316,69.28473
9,65.9958,55.863712,69.70226,72.8257,98.31802
