User_ID,Category_0,Category_1,Category_2,Category_3,Category_4
0,22.910576,28.180668,29.366497,52.203156,29.261238
1,28.17041,31.802378,23.040325,30.950594,60.61893
2,36.810066,37.937763,61.80633,33.825634,38.41679
3,24.212072,28.503937,32.519154,31.463093,62.025154
4,25.430033,28.514671,26.039196,31.302786,54.48032
5,26.056152,53.39317,25.881687,24.45361,26.55223
6,28.734669,29.418644,61.058388,32.196404,27.442007
7,27.48284,28.258083,54.951782,24.657227,27.479973
8,33.60814,31.762453,60.17337,26.069876,30.270592
9,27.773909,31.684978,28.68883,26.686825,56.762886
