source_url,publish_date,news_paper_name,title,first_paragraph
https://www.theguardian.com/global-development/2026/jul/27/uganda-begins-emergency-food-handouts-after-19-die-from-hunger,Mon 27 Jul 2026 08.00 BST,The Guardian,Uganda begins emergency food handouts after 19 die from hunger,Uganda has launched emergency food relief distribution after at least 19 deaths from hunger were reported in an area of prolonged drought in the east of the country.
https://www.theguardian.com/world/2026/jul/23/two-russian-men-jailed-angola-terrorism-and-spying,Thu 23 Jul 2026 15.24 BST,The Guardian,Two Russian men jailed in Angola for terrorism and spying,Two Russian men have been found guilty by an Angolan court of terrorism and spying after being accused of planning a coup and helping to organise deadly demonstrations in the southern African country last year.
https://www.theguardian.com/uk-news/2026/jul/23/british-army-cancel-training-kenya-defence-agreement-dispute,Thu 23 Jul 2026 15.06 BST,The Guardian,MoD cancels army training in Kenya over powers to prosecute British soldiers,The British army has been forced to cancel training for its troops in Kenya after the Kenyan government refused to ratify a bilateral defence agreement.
https://www.theguardian.com/world/2026/jul/21/health-worker-being-monitored-for-ebola-in-london-hospital-after-working-in-drc,Tue 21 Jul 2026 23.39 BST,The Guardian,Health worker monitored for Ebola in London hospital after working in DRC,A humanitarian worker is being monitored at a specialist hospital in London after potential exposure to the Ebola virus.
https://www.theguardian.com/global-development/2026/jul/21/healthy-diet-too-expensive-for-one-in-three-people-globally-un-report-finds,Tue 21 Jul 2026 11.00 BST,The Guardian,"Healthy diet too expensive for one in three people globally, UN report finds","One in three people cannot afford to eat a healthy diet, a new report has found, prompting calls for urgent action on food affordability."
https://www.theguardian.com/us-news/2026/jul/26/lawsuit-csi-aviation-globalx-cecot-deportation,Sun 26 Jul 2026 06.00 BST,The Guardian,Venezuelan men sue aviation firms who flew them to notorious Salvadorian jail,Venezuelan men sent last year to a notorious Salvadorian terrorism prison by the Trump administration are suing the US aviation companies that transported them there.
https://www.theguardian.com/world/2026/jul/24/thousands-of-lightning-strikes-trigger-fresh-wildfires-in-western-canada,Fri 24 Jul 2026 18.58 BST,The Guardian,Thousands of lightning strikes trigger fresh wildfires in western Canada,"Fresh wildfires have broken out in western Canada and forests continued to ⁠burn in Ontario as the country ⁠battled what the prime ​minister, Mark Carney, called one of the most intense wildfire seasons on record."
https://www.theguardian.com/world/2026/jul/24/guyana-coastal-ferry-sinking-deaths-rescue,Fri 24 Jul 2026 16.28 BST,The Guardian,Guyanese authorities confirm death of 72 people in sinking of coastal ferry,"The confirmed death toll from the recent capsizing of a state ferry off Guyana ’s coast has risen to 72, with more bodies recovered as a multinational team struggle to salvage the partially submerged vessel."
https://www.theguardian.com/world/2026/jul/24/canada-government-mark-carney-block-data-sharing-deal-thomson-reuters-us-ice-avi-lewis,Fri 24 Jul 2026 14.53 BST,The Guardian,Canadian government urged to block Thomson Reuters data deal with US ICE,A Canadian federal opposition party leader has called on Mark Carney’s government to block the latest data-sharing deal between US Immigration and Customs Enforcement (ICE) and the Canadian media company Thomson Reuters .
https://www.theguardian.com/environment/2026/jul/24/gangs-taking-villages-on-brazil-peru-border-hostage-say-indigenous-leaders,Fri 24 Jul 2026 12.49 BST,The Guardian,"Masked men invading and taking Amazon communities ‘hostage’ in organised crime surge, say local leaders","Indigenous leaders on the Brazilian-Peruvian border have said their communities are being “taken hostage” by organised crime groups who are running rampant across the region, destroying rainforest, building roads and trafficking drugs."
