Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
DummyRegressor,-3.9181880401626517,-0.00030943189748833255,28756.3865522241,0.03377699851989746
LarsCV,-3.9181880401626517,-0.00030943189748833255,28756.3865522241,0.3156406879425049
LassoLarsCV,-3.9181880401626517,-0.00030943189748833255,28756.3865522241,0.31974315643310547
LassoCV,-3.9181880401626517,-0.00030943189748833255,28756.3865522241,0.20864534378051758
NuSVR,-3.9184222995025397,-0.0003570778649233386,28757.071395083076,0.16177678108215332
QuantileRegressor,-3.919044004890095,-0.000483526418324276,28758.888833703648,0.5659334659576416
SVR,-3.9196900141626463,-0.0006149181347754329,28760.777198486096,0.25812220573425293
BayesianRidge,-3.923097547125127,-0.001307975686466456,28770.73578651469,0.1464998722076416
ElasticNetCV,-3.9239159442233715,-0.0014744293335671177,28773.127056237994,0.16850948333740234
LassoLarsIC,-3.9304367223698486,-0.0028006892955623197,28792.17298468672,0.11870956420898438
OrthogonalMatchingPursuitCV,-3.969376980805152,-0.010720741858674998,28905.648694696192,0.06866598129272461
AdaBoostRegressor,-4.0515357382129675,-0.027430997602637452,29143.617824276113,1.6775336265563965
TweedieRegressor,-4.13177035765108,-0.04374990325106709,29374.153168683675,0.048571109771728516
RandomForestRegressor,-4.136909497884675,-0.04479515211213725,29388.857657300578,14.028571605682373
GammaRegressor,-4.138998937968717,-0.045220122976688204,29394.834014705073,2.9085047245025635
KNeighborsRegressor,-4.203140335472036,-0.058265830943464936,29577.708057345157,0.14170408248901367
ElasticNet,-4.326591862001307,-0.08337461600026574,29926.536600587286,0.04089236259460449
ExtraTreesRegressor,-4.347541601203813,-0.08763557990586013,29985.330094009012,6.348830938339233
GradientBoostingRegressor,-4.376640069860728,-0.09355391251404632,30066.801498484892,6.472892999649048
BaggingRegressor,-4.516967280986567,-0.12209504020065753,30456.637365805993,1.4818849563598633
OrthogonalMatchingPursuit,-4.519633107259222,-0.12263724215441796,30463.99487711544,0.037320852279663086
HistGradientBoostingRegressor,-4.662494098435766,-0.15169371493608796,30855.71605927467,2.4409377574920654
SGDRegressor,-4.982297710720636,-0.21673851743470562,31715.076202429533,0.1114044189453125
RidgeCV,-5.002945310915629,-0.22093802933877194,31769.76055459569,0.08031105995178223
Lasso,-5.025048101516312,-0.22543351217280905,31828.19480162111,0.2003641128540039
LassoLars,-5.025049384263623,-0.22543377307056733,31828.198189770752,0.08313298225402832
Ridge,-5.025106452139332,-0.22544538009613535,31828.348924083573,0.03988003730773926
Lars,-5.0276132172784465,-0.22595523063290424,31834.969379593495,0.08693742752075195
TransformedTargetRegressor,-5.027613217278448,-0.22595523063290468,31834.969379593498,0.07362508773803711
LinearRegression,-5.027613217278448,-0.22595523063290468,31834.969379593498,0.06101584434509277
PoissonRegressor,-5.0941039532425645,-0.23947877015102992,32010.0739374004,0.04177403450012207
HuberRegressor,-5.567044648357978,-0.335670097971114,33228.95875825413,0.0987551212310791
PassiveAggressiveRegressor,-6.0561799528134905,-0.43515524464003197,34444.23727034926,0.3583838939666748
DecisionTreeRegressor,-8.080331533609893,-0.846847091581673,39073.5257424004,0.28238391876220703
ExtraTreeRegressor,-8.146945453803937,-0.8603956855194448,39216.58684608749,0.09678459167480469
LinearSVR,-19.111854882810896,-3.0905467558259447,58151.08355771035,0.039757490158081055
MLPRegressor,-19.299396374500184,-3.1286907880339356,58421.58160650999,2.1501400470733643
GaussianProcessRegressor,-19.569046534608766,-3.1835348883950028,58808.32753519259,9.92402172088623
KernelRidge,-20.737585386709906,-3.421203807466421,60455.72012592421,0.12051820755004883
RANSACRegressor,-65.29483523758509,-12.483695302559678,105577.55397048888,1.1127581596374512
